City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,borogontsy,62.6683,131.1683,1.15,92,96,3.59,RU,1683195897
342,inverloch,-38.6333,145.7167,12.66,68,75,1.62,AU,1683195897
343,kyzyl,51.7,94.45,10.21,21,39,1.09,RU,1683195897
344,lihue,21.9789,-159.3672,23.77,76,100,8.75,US,1683195789
345,mundri,-6.9558,111.71,27.42,83,96,2.9,ID,1683195898
346,san luis de la loma,17.2706,-100.8939,26.35,72,100,2.46,MX,1683195898
347,minas de marcona,-15.2119,-75.1103,14.55,86,76,4.65,PE,1683195898
348,sarupathar,26.1984,93.8094,27.03,70,99,1.78,IN,1683195899
349,paranapanema,-23.3886,-48.7228,15.87,87,8,0.9,BR,1683195899
350,cabedelo,-6.9811,-34.8339,25.37,82,20,3.08,BR,1683195899
351,nazca,-14.8333,-74.95,19.47,78,57,1.39,PE,1683195899
352,san isidro de curuguaty,-24.5167,-55.7,18.57,97,99,0.42,PY,1683195900
353,khanty-mansiysk,61.0042,69.0019,22.06,37,0,3.13,RU,1683195900
354,chonchi,-42.6128,-73.8092,10.07,96,100,0.71,CL,1683195900
355,orvieto,42.7195,12.1116,21.14,64,2,5.47,IT,1683195900
356,la ronge,55.1001,-105.2842,9.14,49,40,4.12,CA,1683195901
357,piat,17.7905,121.478,30.48,64,40,2.25,PH,1683195901
358,malvan,16.0667,73.4667,29.71,62,33,6.96,IN,1683195901
359,arrifes,37.7667,-25.7,16.14,100,75,3.6,PT,1683195902
360,hibbing,47.4272,-92.9377,1.93,86,20,1.54,US,1683195902
361,polyarnyy,69.1989,33.4478,-0.49,73,100,10.82,RU,1683195903
362,sitia,35.2,26.0986,19.99,66,99,4.16,GR,1683195903
363,grand-lahou,5.1367,-5.0242,29.69,70,58,2.81,CI,1683195904
364,hilo,19.7297,-155.09,21.85,97,100,2.57,US,1683195904
365,ancud,-41.8697,-73.8203,9.96,92,99,0.02,CL,1683195905
366,kanungu,-0.9575,29.7897,21.88,82,100,1.02,UG,1683195905
367,christchurch,-43.5333,172.6333,11.64,85,0,2.06,NZ,1683195142
368,jiwani,25.05,61.7417,28.62,70,0,4.4,PK,1683195906
369,cabo san lucas,22.8909,-109.9124,21.45,77,100,1.34,MX,1683195907
370,melfort,52.8667,-104.6177,7.07,61,43,3.09,CA,1683195856
371,igarka,67.4667,86.5833,1.63,90,100,1.75,RU,1683195907
372,whangarei,-35.7317,174.3239,17.91,96,100,3.78,NZ,1683195908
373,fisterra,42.9049,-9.2629,18.9,87,3,9.01,ES,1683195909
374,hasaki,35.7333,140.8333,20.68,75,0,9.18,JP,1683195909
375,fukuecho,32.6881,128.8419,18.2,100,75,4.63,JP,1683195910
376,istgah-e rah ahan-e garmsar,35.2346,52.3094,23.69,12,0,6.39,IR,1683195911
377,uzgen,40.7699,73.3007,22.16,23,0,6.05,KG,1683195911
